text,N/S/J/G,V/L,favorite_count,retweet_count,followers_count,friends_count,listed_count,statuses_count,favourites_count
yeah feel kind lousi today ive never side effect everi vaccin ive receiv say symptom mild viral infect common among particular one,S,V,0,0,6214,5637,18,35058,59482
congratul got first pfizer vaccin last thursday nbd slight sore arm friday side effect good luck,T,L,0,0,283,929,14,25249,68102
love hump day got first vaccin shot weekend pain side effect excit abl go mid april long year understat,J,L,1,0,46,399,0,894,7525
hope goe smooth sister roommat got moderna vaccin rough side effect,S,V,1,0,535,1098,4,12190,46416
luck get hit side effect covid vaccin lol,S,V,4,0,171,251,1,12418,27853
hour sinc jampj covid vaccin side effect arm doesnt even hurt cours ill wait see tomorrow bring vaccin vaccinessavel covidvaccin,N,L,1,0,288,343,18,52251,217712
hour sinc jampj shot notic side effect physic sign arm even vaccin awesom vaccin johnsonandjohnsonvaccin,G,L,39,3,288,343,18,52251,217712
suspect addit condit increas likelihood side effect vaccin realli base symptom morgain experienc most latch onto preexist condit,T,L,1,0,523,521,14,30119,10725
everybodi hype vaccin side effect feel sore sick mean knock wood still get second shot,G,L,0,0,381,419,2,31370,4397
minut hous cure vaccin dose side effect sip filthi chai restor life bodi,J,L,6,0,973,794,6,25674,68532
know pfizer vaccin side effect hope goe well,N,L,1,0,683,1074,3,36423,1225
grandma year old took vaccin two week ago side effect far next monday take second shot hope live birthday even,G,L,1,0,1927,1772,0,7243,56924
probabl got day ago alreadi vaccin side effect happen pretti quick also fade quick,T,L,3,0,779,164,15,17161,59803
took vaccin friday felt like crap weekend thought side effect woke today tast smell got rapid test posit,S,V,0,0,84,242,1,164,508
one said one side effect vaccin get huge honkin milker,J,L,4,0,1270,979,3,5894,3815
got covid vaccin moderna feel fine side effect,G,L,2,0,1025,4969,10,2248,3612
mean immun build side effect realli effect vaccin make antibodi virus,T,V,1,0,1151,1502,33,1897,540
soo sorri foralllessen side effect ampaft vaccinesthes could help,S,V,0,0,441,709,3,19026,141
hour sinc receiv jampj covid vaccin experienc side effect,G,L,13,0,1743,1697,8,79420,60283
dont think realli side effect yesterday arm hurt physic press inject site locat felt tire mild headach general feel way like due vaccin,G,L,0,0,380,1201,2,6976,5954
jampj vaccin side effect ravag night long fever bodi ach especi arm shoulder heard colleagu thing worth though,T,V,1,0,1289,1678,22,20412,128131
jampj vaccin side effect remind feel sick like fun,S,V,2,0,1289,1678,22,20412,128131
side effect hour last night first moderna someth like covid would feel like damn glad vaccin felt like someon hold head underwat,G,V,19,1,9320,3880,133,170020,234641
list want anyth vaccin side effect list promis one,J,L,3,0,11325,1797,336,29077,40979
okay got vaccin yesterday morn woke drench sweat chill whole bodi hurt amp excruci headach side effect covidvaccin,S,V,0,0,952,682,1,48982,42047
ugh dayaft vaccin side effect fun last night full fever dream featur notori big dont know brain,S,V,3,0,112,281,4,1627,3907
deal covid vaccin dose side effect blanket also less blanket pleas thank,S,V,2,0,508,1486,14,3095,4734
got johnsonandjohnson shot saturday luckili didnt notic side effect sign cook counti vaccin websit got notifi appoint avail realli easi your cook sign covid,G,L,2,0,510,1696,8,2076,43140
jampj vaccin monday shot wast program side effect even sore went run shot got pool lap even inconveni,G,L,3,1,167,1166,3,9471,1368
true side effect vaccin aw sore arm someth els,S,V,0,0,173,423,0,3169,516
cori said janssen vaccin side effect lmao feel alot better today realli sore arm omfg got sleep worst chill shiver feel fingersto hot flash nausea hang pot like mom bring us kid thing,S,V,6,0,558,522,6,15968,8105
got jampj onedos vaccin yesterday midnight sideeffect yet sore feel total finelowkey anticlimact anyth,J,L,26,1,400,417,2,1046,4130
receiv first dose moderna vaccin past monday side effect sore shoulder today sore complet gone bad,G,L,1,0,1035,1398,3,16469,45540
good morn feel pretti great first covid vaccin yesterday im side effectsknock wood,G,L,2,1,11633,11710,46,83623,502780
feel relat side effect vaccin im go lie watch comfort stuff today,S,V,3,0,473,1069,4,16815,67773
got first covid vaccin shot minut ago super excit im get super nauseous though im unfortun get side effect would rather get side effect day covid though worth,T,V,15,0,171,634,1,3869,13130
first shot vaccin affect everyon differ like virus may side effect havent felt heard ppl say shot,T,L,1,0,883,2879,53,233709,26666
great news husband got jampj vaccin littl tire achi sever side effect two week fulli protect huge relief high risk famili oneanddon,G,L,15,0,1454,1762,16,6093,19900
covidvaccinesideeffect covid vaccin side effect son girlfriend pfizer vaccin immedi side effect week later lymph node blew run fever day anyon els,S,V,0,0,299,440,0,12402,17937
come hour vaccin shot pfizer sore arm still everyon hit side effect differ heard round two wors,N,L,24,1,1470,1287,13,20590,72739
vaccin side effect joke chest feel like collaps,S,V,1,0,218,403,1,4277,33085
absolut side effect vaccin definit better covid,T,V,0,0,5016,5520,5,72189,44179
got first dose bill gate vaccin could bare feel shot side effect far pass happen everi time get shot realli strong urg buy microsoft product,J,L,12,0,622,600,2,2441,10026
got first dose pfizer vaccin yesterday side effect besid littl arm sore insati need watch star trek latter may unrel vaccin,J,L,1,0,3,24,0,30,13
want stream tonight deep fear go get ass kick side effect vaccin,N,V,1,0,305,136,2,2050,3286
got jampj vaccin monday feel good side effectsyet good luck,G,L,1,0,144,1065,12,5638,2480
anyon hesit take vaccin pleas dont near painless min includ postobserv side effect desir sing skip pleas trust scienc continu advoc equit distribut abroad,T,L,18,4,6330,2853,129,9093,32475
one got side effect first dose covid vaccin,S,V,2,0,2123,1636,17,41467,10127
took moderna vaccin also worri side effectsth minim symptom experienc easili treat tylenol sure get shot domin arm use arm less hurt,T,L,1,0,199,386,0,3694,19219
got johnson johnson singl dose vaccin side effect whatsoev,G,L,2,0,317,451,33,29123,22400
feel great side effect whatsoev son appoint next thursday jampj vaccin wait,G,L,2,0,317,451,33,29123,22400
im happi jampj vaccin side effect whatsoev husband minor joint pain,G,L,0,0,317,451,33,29123,22400
got pfizer vaccin side effect either shot,G,L,0,0,705,307,23,36842,20034
pfizer vaccin shot pretti sore arm side effect pfizer vaccin shot slight sore arm tired side effect sound like lucki compar other,G,L,2,0,3481,1113,12,7676,14887
tell vaccin side effect alway felt shitti lol,J,V,0,0,106,155,0,2884,4607
impress amp vaccin rollout fil get first dose yesterday went smooth amp top side effect thx host,G,L,26,1,3175,4968,67,9725,3882
im still provaccin unfortun also one unlucki peopl got covid vaccin shot flu like side effect bad flu like flus scrawni littl cousin annoy hell,S,V,2,0,786,2566,20,12212,18439
besid gorgeous hair sudden fall side effect vaccin,J,L,1,0,635,680,14,32467,44133
btw got first dose astra zeneca vaccin today ive heard side effect realli common im sit wait start dkjfjd still better die covid tho,G,L,3,0,402,386,3,2570,5853
wasnt lucki got vaccin side effect fever day still better die covid tho,G,V,0,0,402,386,3,2570,5853
definit worth full day day half feel like garbag feel like light end tunnel,G,V,1,1,2396,1599,62,6663,13121
tini asian mom go soon amp got pfizer vaccin shot februari side effect whatsoev hope mom experi,T,L,0,0,227,403,0,3022,112448
got one dose johnson johnson vaccin yesterday im sensit med also side effect arm littl sore wors flu shot stress get covid gone didnt realiz much til,G,L,0,0,314,1115,1,6211,14968
ok pfizer vaccin anyon els one appar side effect suppos littl none mine day ago everyday feel wors yesterday felt like truck ran today sore throat ha could go back bed,S,V,0,0,342,204,13,48230,24925
got first dose moderna vaccin yesterday relief feel insan even someon asthma fibro side effect basic noth littl fatigu last night arm sore today feel realli good super excit,J,L,44,0,1577,1435,6,2190,5682
get first vaccin coupl hour husband last side effect,G,L,0,0,264,228,3,16697,24434
whelp take day thank fever develop overnight experienc side effect covid vaccin,S,V,4,0,116,356,0,2910,4155
im happi report vaccin side effect near gone ive still got ambigu lowergi tract pain pain scale morn even without ibu itll definit gone day two relief,G,V,33,0,2363,551,25,41952,326404
good morn teacher struggl whole night allerg reaction side effect dose pfizer vaccin bare slept half hour feel better happi break your back healthi week,S,V,1,0,356,333,0,2404,11832
feel much better morn feel like crap yesterday due vaccin side effect ach fatigu took earli work yes total recommend get vaccin worth,T,V,2,0,144,184,3,4697,9048
hubbi got j amp j vaccin yesterday essenti worker immun compromis feel much safer trust scienc side effect yet felt good yesterday still wear mask though,G,L,140,2,1802,1449,29,9385,10819
extrem side effect second modern vaccin suck,S,V,0,0,1174,423,4,25973,36263
set side effect take johnson johnson covid vaccin fever chill like alaska massiv headach,S,V,13,3,1522,2352,9,21835,20043
mrs vaccin saturday side effect wish famili,T,L,1,0,3366,3153,5,41520,76517
unwel hour oxford vaccin high temp chil bodi ach mrs never side effect,S,V,1,0,3366,3153,5,41520,76517
im receiv first pfizer vaccin noth daughter receiv moderna shot side effect good,G,L,0,0,251,341,1,7319,14602
vaccin jampj vaccin saturday side effect also year old high blood pressur season asthma manag prescript med readi rock time go get,T,L,0,0,402,591,4,34658,7697
good morn inova health sent notif saturday march made appoint sunday march line jampj vaccin side effect report thank,G,L,1,0,402,591,4,34658,7697
realli feel side effect second dose covid vaccin send make feel better,S,V,0,0,353,270,1,376,1719
receiv vaccin dose pfizer last friday turn im one experienc side effect fatigu big one headach joint ach other know would outcom would get vaccin,T,V,8,0,1226,2182,1,8264,33770
side effect oaz vaccin covid twice colleagu younger kid reaction though,G,L,1,0,42,123,2,2451,567
hour sinc first moderna vaccin inject arm sore side effect getvaccin,G,L,12,0,21425,19284,2,12996,41377
mom said symptom show vaccin work yes better side effect hospit hope feel better soon,G,V,2,0,685,975,23,62439,40618
ive dose pfizer vaccin side effect,G,L,1,0,6804,3924,88,8334,2573
believ side effect vaccin actual virus,S,V,3,0,5847,630,34,31042,66844
sore arm side effect second vaccin covid vaccin,G,L,14,2,7306,7649,19,184473,94735
good bone feel like turn ice muscl feel like run marathon hope side effect astrazenica vaccin last long,S,V,175,5,7117,5680,73,87794,116371
cancel vaccin mike help everyon els get side effect pfeizer one know peopl astra zeneca mi,T,L,2,0,1531,1106,2,12328,20738
got first dose vaccin yesterday im happi grate today feel terribl extrem headach fatigu general pain probabl side effect feel like lot time anyway due chronic ill ill cope either way,G,V,14,0,89,111,2,3316,15486
despit risk got vaccin got maderna vaccin far good side effect even site pain inject site,G,L,2,0,78,64,0,92,976
negat side effect vaccin mean everyon ofc mum got complet fine except muscl ach,T,V,1,0,31,93,0,1153,2891
final abl get back gym today week go due famili stuff deal covid vaccin side effect mental health suffer wan na say im sorri seem distant right know im current battl,S,V,0,0,95,275,2,1800,2105
pillow stretch arm pullingstrain bicep half asleep also rather unpleas put way vaccin week ago arm side effect appar alreadi sore pull arm,G,L,2,0,1118,1080,17,6532,12497
solut alway fake meat trader joe best thing found year vegetarian want meat hook blame everyth vaccin side effect new major lol,J,L,1,0,249,367,1,702,56815
arm still pretti sore dose vaccin say dose side effect,S,V,8,0,626,206,13,16833,23579
anyon scare get second dose vaccin side effect let tell affect everyon differ dad reaction thing could say mayb littl tire usual,T,L,5,0,557,302,2,31118,45468
side effect whatsoev pfizer vaccin sore top arm day,G,L,1,0,1468,2612,51,228120,96773
pfizer vaccin side effect whatsoev sore arm day,G,L,4,0,1468,2612,51,228120,96773
yes agre sideeffect vaccin prefer actual covid enjoy posit tomorrow,G,V,6,0,666,623,11,26480,65105
effect similar flu shot andor shingl vaccin common side effect,T,L,6,1,122607,134846,1687,103254,106916
got second covid vaccin n far im okayyy w side effect,G,L,0,0,218,211,0,19495,37635
guess one vaccin side effect get horni,J,L,2,0,125,164,1,9763,3873
got second vaccin want share side effect euphoria euphoria must eat restaur book research run nake moon thenyou post twitter,J,L,23,2,10834,10691,9,61182,57964
got moderna vaccin shot side effect arm sore,G,L,3,0,528,190,0,4773,3713
got second vaccin shot side effect readi go see rest world orang counti california,J,L,0,0,75,27,1,1115,1
mother n step dad got second vaccin saturdaydad didnt side effectsmom feet hurt somelittl bit bodi achesjust kept feetno easi taskbi mondaysh realli felt way better,S,L,0,0,319,405,2,16085,39422
happi saytoday day vaccineth side effect far mom feel littl tire feet hurt herno chillsfeverbodi achesdadh say fell fineso happi hell,J,L,2,0,319,405,2,16085,39422
jampj vaccin side effect hand shake like bubba sparxxx would found ms new booti,J,L,4,0,264,371,10,1747,1018
head vaccin got first dose saturday zero side effect kinda tire sunday think anxieti saturday arm even sore sure want te,G,L,0,0,0,25,0,96,13
hit gym tonight still wear bandaid honor last night covid vaccin good side effect whatsoev pumpingiron pump gymlif,J,L,0,0,665,1014,58,8326,1394
saw stori johnsonamp johnson vaccin got mine saturday door drive back rochest amaz effici side effect,G,L,3,0,153,464,0,4759,6343
numer health problem littl leeri tell mom take deep breath go done side effect mayb one lucki one want keep mom aroun,T,L,0,0,2458,5000,1,16743,51421
good news got surpris call gp surgeri offer vaccin bad news asid anaphylaxi ive got known side effect far,S,V,0,0,691,493,38,31062,6508
feel like death warm assum side effect second dose vaccin,S,V,1,0,960,1592,12,7633,65
far still vaccin side effect knock wood think may gotten lucki,G,L,23,0,3012,1391,79,66390,41084
parent final got vaccin negat side effect better thank,G,V,1,0,76,2172,0,22078,90804
folk amp side effect whatsoev moderna vaccin,G,L,1,0,608,1403,0,7133,52985
amp got side effect clinic trial show elder peopl tend fewer side effect also effect get covid much wors side effect vaccin tell,T,L,1,0,138,1244,2,3419,19991
mom turn year get first vaccin side effect except littl arm sore show mom tell worri,T,L,3,0,5216,5606,18,153371,279705
wow werent kid vaccin side effect,S,V,90,10,3717,1834,88,297627,101547
covid vaccin side effect joke,S,V,3,0,3997,3623,9,40058,83588
okay vaccin side effect joke first dose sunday today start get worst ach abdomen lower back low grade fever tonight know mean work dang werent kid warn side effect,S,V,6,0,3764,1247,222,49394,46758
year old dad took pfizer vaccin fine side effect,G,L,0,0,3754,4942,13,71845,75549
receiv first moderna vaccin past friday second dose schedul april arm bit sore usual vaccin side effect,G,L,3,0,767,4909,4,23890,308811
side effect either vaccin,G,L,0,0,527,1303,2,24976,24254
sis got moderna vaccin yesterday side effect nurs janet readi,S,V,4,0,310,405,0,41248,149050
littl second dose moderna vaccin side effect first one week ago,G,L,0,0,688,691,1,20017,74582
got first pfizer vaccin side effect far,G,L,2,0,636,728,7,21990,58258
vaccin updat got shot yesterday still side effect sore inject site,G,L,0,0,740,820,7,10948,23726
took new johnson amp johnson vaccin today still side effect hope stay like,N,L,9,0,488,241,3,60325,56648
vaccin question expert nasti side effect first covid shot mayb bc expect second time around still wors,N,V,10,1,5233,1183,97,2153,6784
got pfizer vaccin offer counti im tire mild fever day dose day brother also got pfizer va offer side effect beyond littl swell time inject,G,L,0,0,1643,5003,27,22553,7122
got first pfizer vaccin today zero side effect far even sore arm,G,L,0,0,234,410,0,14144,42065
side effect vaccin shot today,S,V,3,0,8124,7192,18,135736,206801
vaccin n got none littl side effect mean less risk other get side effect risk,T,L,1,0,3094,3247,4,44004,14597
bro idk got gave final present immun system xgame mode legit black lmao postvaccin side effect joke,S,V,6,0,900,653,5,38211,49270
big felic fan nostalgia feel rather comfort battl lessthancomfort side effect pfizer vaccin,S,V,0,0,571,617,24,10683,9419
year old mother year old father receiv first second dose moderna vaccin neither one experienc side effect except sore arm,G,V,0,0,119,775,0,889,7483
hit nd covid vaccin today man feel side effect,S,V,0,0,129,272,0,10957,9478
vaccin hubbi got dose pfizer vaccin sunday minim side effect sore arm minor headach sn covidbegon youv done enough damag world,G,L,5,0,585,1067,2,5923,10498
sister work pharmaci hospit took moderna vaccin time side effect,G,L,1,0,523,1464,8,5919,8585
side effect pfizer vaccin far buy share microsoft,J,L,15,3,1541,1010,2,702,1471
dont worri that one side effect vaccin mom littl sister take career nurs,T,V,1,0,34,180,0,2319,3153
yay got second moderna vaccin last week lucki bad side effect sore arm fatigu,G,L,0,0,954,821,13,22997,16634
got vaccin shot today thank vahouston far side effect like shot great feel fulli vaccin still follow protocol safe feel go stuff,G,L,0,0,154,505,4,141,231
possibl side effect vaccin bad covid pharmacist phrase way us convinc get vaccin pfizer first shotminim side effect wait get,T,L,0,0,891,1350,0,56300,67737
got vaccin today blood reconnect navi offic father bloodlin wow feel hot power interest side effect hot men danc top gun best menstrip via,J,L,0,0,365,1245,7,5427,863
side effect check physic fatigu bodi ach around pm thought might miss virtual stretchton class better felt done feel fine mayb achi postvaccin yoga stretch class,T,V,77,7,3986,3994,18,36967,50736
tara abl get first shot covid vaccin today unusu side effect yet said crave human flesh stay tune see turn,J,L,1,0,240,343,6,14703,11382
side effect far first pfizer vaccin except mouth feel like metal also feel microchip finish final instal updat,J,L,5,0,167,458,1,21827,14117
got first shot moderna today side effect far arm teeni tini sore abl get ct educ includ bus driver abl receiv vaccin thank make educ prioriti,G,L,1,0,240,416,0,4525,9104
got first vaccin im team moderna second shot isnt month far side effect,G,L,3,0,228,712,1,16292,36127
jampj vaccin day ago low grade fever day tire fever gone still pretti tire today much better husband first moderna side effect mom h,G,V,1,0,54,334,0,142,1375
got fauciouchi today side effect may includ sens relief feel safer work place afraid visit famili continu mask wear got vaccin care health wellb friend famili student,J,L,17,1,445,525,0,12478,32843
second pfizer vaccin feb side effect thank,G,L,0,0,43,86,1,1930,1774
damn vaccin side effect kick fast,S,V,1,0,949,1334,32,4356,17347
near hour pass sinc get jampj vaccin linger side effect persist pain headach tri take advil tylenol neither impact other got vax yesterday similar side effect,S,V,3,0,1831,2081,83,7176,25908
exact side effect jampj vaccin,S,V,2,0,1831,2081,83,7176,25908
exact side effect jampj vaccin four friend rough hour,S,V,2,0,1831,2081,83,7176,25908
second vaccin side effect got like,S,V,3,0,232,542,3,998,1558
oxford vaccin uk man thing made feel like shit day side effect went like noth besid sore arm would advis everyon get countri step get back,T,V,0,0,65,936,0,3902,11417
support vaccin problem share experi w side effect would never deter fr receiv mean end pandem us entertain w,T,V,0,0,3221,572,55,5421,6428
day covid vaccin pfizer arm sore like flu pneumonia vaccin side effect needl tiniest shot ever year shot super quick senior rather grumpi last year yesterday giddi,J,L,10,1,2864,4000,2,31630,127491
coupl hour pass sinc receiv first dose vaccin feel great side effect look forward see number administ vaccin increas come week month,T,L,3,0,14,52,0,45,20
headach need nap side effect vaccin particular healthi individu get vaccin,T,L,3,0,82,178,0,8396,4860
updat vaccin side effect arm sore much get flu shot also street keep call name,J,L,8,0,315,646,3,33613,27461
opt cdcs self report vaccin side effect help peopl ask side effect made couldnt work halfway day chose lie work tech mgmt way differ machinist abl work,T,V,5,0,4474,1692,164,55096,4675
tomorrow mark day sinc second moderna shot candid side effect shingl vaccin time wors reliev behind get chanc jump,T,L,6,0,250,405,2,7594,11169
last week side effect either slight sore near inject site shingl vaccin much wors,G,L,1,0,250,405,2,7594,11169
vaccin side effect wild lol,J,V,1,0,164,346,3,32482,52324
petit cancer amp polio survivor lot allergi includ med side effect counsel risk get much sicker contract covid vaccin million peo,T,L,1,0,209,500,0,4459,8343
mom vaccin last week also sensit med receiv phisher vaccin absolut side effect tell mom worri better vaccin good luck guy,T,L,0,0,32,153,0,926,4184
done deal side effect second vaccin dose expect everyon kiss mouth,J,V,2,0,251,651,0,1504,4310
hrs sinc second vaccin dose side effect,G,L,0,0,20,42,0,197,169
today got jampj vaccin also wipe bike way get vaccin may confound far side effect sore fatigu,G,L,5,0,329,564,4,1002,2053
got first pfizer vaccin today side effect tho told expect sore arm tomorrow,G,L,0,1,3247,1359,91,151565,339747
covid vaccin side effect realli hit like train nowher,S,V,0,0,92,145,3,20783,3091
got vaccin side effect far,G,L,1,0,257,1393,3,29380,25299
wonder side effect moderna covid vaccin shot receiv first dose saturday arm sore yesterday today well issu,G,L,3,0,881,532,0,44521,53974
final vaccin got johnson johnson vaccin yesterday side effect worth see grandpar face face,T,L,6,0,289,1237,7,698,341
resolv continu tri believ ach exhaust im feel day goe sign much love cat vaccin side effect,J,V,11,0,472,625,2,4540,4612
side effect moderna vaccin yesterday far sore arm,G,L,0,0,25,125,0,1104,401
tonight might russian imperi stout night especi yesterday bout vaccin side effect,J,V,1,0,640,670,48,98430,39074
moderna vaccin side effect kick ass last night woof,S,V,1,0,640,670,48,98430,39074
actual covid vaccin side effect alway feel like someth trendi cool blame,J,V,3,1,202,260,2,2780,1207
bf got covid vaccin gf actual exist hallucin side effect,J,V,1,1,202,260,2,2780,1207
got j amp j vaccin saturday two day feel side effect bad either,G,L,0,0,21,36,0,251,793
pictur right second moderna vaccin see look like side effect vaccin hit lmao corpus christi texa,S,V,0,0,379,903,7,15432,2217
vaccin side effect extrem fatigu start hour shot woke follow day today visibl swollen pain gland side shot low grade fever chill fatigu continu today still glad,G,V,1,0,10,159,1,109,343
anyon wonder covid vaccin first dose sunday felt total fine sunday even monday morn side effect slight headach manag med amp water nausea,G,L,1,0,29,132,0,487,1604
seem typic side effect covid vaccin fatigu joint ach particular hand headach inabl feel warm difficulti sleep feel better come hour post vaccin,S,V,0,0,126,210,9,4312,5268
day one get first vaccin shot left arm fuck side effect far holi shit didnt know id rock futur gohan situat coupl day,J,V,12,0,352,735,4,6644,68233
hour sinc took johnson amp johnson vaccin side effect sudden appreci game throne seri final littl concern,J,L,1,0,38,453,0,759,769
honest dunno side effect could shatter hour sleep last night walk mile round trip get vaccin,S,V,0,0,804,587,3,80537,120093
first moderna shot morn ive extrem fatigu day sleep still feel good,J,V,7,0,2617,485,114,122322,84673
got first dose vaccin today far side effect ive sore arm uncontrol urg buy microsoft product,J,L,13,0,214,236,0,304,1216
got second moderna vaccin today horribl side effect day worth,T,V,0,0,461,525,0,7582,80296
got first covid vaccin today absolut zero side effect far,G,L,0,0,120,1898,9,8221,48124
concern vaccin side effect pfizer shot week ago today problem great,G,L,12,0,18787,20064,6,4884,28148
vaccin updat felt slight sore arm hour get felt like punch side effect symptom felt complet fine mental physic get,T,L,6,0,466,1185,5,3529,12624
singl dose vaccin hindsight side effect pretti intens hour post vaccin felt normal,G,V,1,0,169,178,0,2018,15659
hello sle marker lung kidney moderna vaccin experienc minim side effect mild bodi ach headach bruis point inject three day aft,G,L,4,0,957,1791,64,3774,6281
keep track side effect incas peopl curious got johnson amp johnson vaccin around morn immedi headach got work start feel dizzynauseouslik fog continu,T,V,6,0,1822,439,30,70219,132325
side effect vaccin slight sore arm none elder friend gotten sick either feel sick day vaccin much better die horribl death covid,G,L,0,0,3152,3155,12,139675,168193
hour post vaccin continu side effect sorri grammar surpris wasnt nail,S,V,2,0,6041,6458,6,18841,3930
feel vaccin side effect ask dr googl read side effect,N,V,2,0,1172,918,16,2298,4421
never happi bodi exhaust n achey bc side effect vaccin pain,J,V,6,0,246,252,0,6852,45928
today immun wait side effect covid vaccin slowli fade away,S,V,0,0,23,73,0,15157,6329
got first dose moderna vaccin hurt still seen side effect honest flu shot hurt one,G,L,28,0,300,674,0,6863,27474
think got amazon one came alexa enabl bandaid alexa side effect covid vaccin,J,L,1,0,1524,4994,123,58483,42487
could remind vaccin know side effect especi second shot know bunch folk experi moderna note cours mild gazillion time worth,T,V,0,0,616,970,55,193740,21343
littl first dose moderna vaccin side effect inject site sore itch general fatigu sign healthi immun respons second dose schedul excit,J,L,1,0,48,93,0,218,1283
good morn text mom today must feel side effect covid vaccin lol,J,V,3,0,195,295,4,12843,21686
vaccin side effect hit,S,V,26,1,1023,865,6,8159,29545
side effect vaccin speak tdap year annoy last night overh troubl sleep could anyth,G,L,9,0,268,183,7,15998,28692
yesterday got astrazeneca vaccin first shot katameya health center ministri health good servic second shot three month side effect,G,L,1,0,1766,235,21,138,1
vaccin hour side effect,G,L,13,0,1896,1617,47,61888,58794
havent covid got j amp j vaccin pain side effect,G,L,1,0,442,5001,2,97399,70313
appar mean immun system creat antibodi go advis foragainst vaccin someth decid much like flu shot except mild side effect amp pain inject site,T,V,0,0,2130,2430,31,41643,63054
almost week post vaccin amp still side effect fatigu aw feel like flu realli hope mean side effect second dose moderna vaccin,S,V,7,0,2130,2430,31,41643,63054
last night start get chill fever spike drank water took advil went bet slept aw took temp around woke get weird side effect vaccin day later,S,V,2,0,1656,2481,52,45774,30967
yea booster wonder similar reaction might covid boss cowork covid vaccin side effect,S,V,0,0,1349,1742,26,67201,31275
got second dose pfizer vaccin expect realli sore arm bodi ach chill side effect first dose,S,L,0,0,1349,1742,26,67201,31275
first vaccin shot done side effect report,G,L,5,0,316,141,4,436,574
slowli feel wors today guess vaccin side effect final kick,S,V,1,0,14,108,0,571,11619
women bewar effect temporari prepar advanc mani effect incapacit hour cousin got dehydr second day fell hospit drink water eat someth someon,T,V,30,10,18456,292,155,3439,4659
yay glad got mild side effect sore arm realli mild main press second vaccin wait,G,L,1,0,13039,11705,7,137066,202358
year heavi loss chang experienc emot side effect covid vaccin via,J,L,0,0,59,143,1,8068,13043
well may unusu year old mom got pfizer vaccin side effect,G,L,0,0,1642,2169,0,1589,11517
got pfizer vaccin hrs get vaccin fever chill fatigu headach muscl pain hrs felt better side effect gone shot milder form hear,T,V,0,0,302,622,1,7240,18394
got first moderna shot morn arm hurt littl otherwis side effect feel like shot less pain flu vaccin,G,L,7,0,180,999,5,2184,9399
took first vaccin dose sunday negat side effect let know second one heard second one tell side effect otherwis okay,N,L,0,0,89,313,0,1363,8355
dont want say develop super power covid vaccin smell feel hear intern monologu real side effect far,J,L,125,7,142658,5441,2986,50685,39922
side effect high recommend drink coconut water vaccin help put electrolyt bodi,T,L,2,0,129,699,0,853,6868
first shot pfizer vaccin yesterday except local pain inject site experienc side effect,G,L,0,0,33,138,0,535,2292
bed covid vaccin side effect cuddl lost sin citi,S,V,0,0,3,88,0,29,73
kudo im get second vaccin first one brought side effect,G,L,0,0,419,1334,3,9631,3964
back cage today challeng vaccin side effect squat overheadpress deadlift,S,V,5,0,719,1112,34,7849,5902
yup time need proud say dad chat friend want vaccin encourag get esp sinc got first dose last week side effect,T,L,1,0,6281,1909,81,73327,31278
mom reaction vaccin pfizer covid vaccin caus problem got dose side effect,G,L,0,0,333,725,0,4945,14842
okay let know receiv coronavirus vaccin sunday hour absolut side effect met peopl side effect like welt big pain amp rash know one die experi,T,L,0,0,1269,4126,1,4787,4639
got vaccin phizer thru va far sideeffect,G,L,0,0,2184,4519,13,84356,56070
got second dose moderna vaccin yesterday side effect feel good,J,L,3,0,373,2155,0,232,36955
receiv second dose moderna vaccin yesterday side effect sore arm coupl hour,G,L,0,0,373,2155,0,232,36955
near hour postcovid vaccin first dose feel side effect,G,L,2,0,315,311,30,35232,28863
hello twitter friend receiv second vaccin pfizer absolut side effect receiv yesterday encourag everyon get vaccin big deal,T,L,1,0,1695,2682,0,11033,5457
tell mani ppl age two vaccin amp perfect fine vaccin safe zero side effect know covid make ill andor caus feel like suffoc amp possibl die,T,L,0,0,2402,2260,69,63969,50405
day five johnson amp johnson vaccin still side effect even inject site pain pray vaccin made asap,T,L,3,0,560,206,27,99128,165682
know nurs receiv pfizer vaccin went ridicul nasti side effect appar second dose wors fuck,N,V,0,0,193,454,0,3910,5189
act like healthcar worker seen cowork bad side effect vaccin alreadi scare health guess crazi,N,V,0,0,150,135,0,14912,669
plan get vaccin take advic get friday weekend gon need say minimum recov unless get lucki side effect,S,V,0,0,544,611,5,80178,584
see ad nausea one day dose pain inject site dose moderna vaccin,S,V,1,0,1405,2897,0,59580,48110
got covid vaccin morn overwhelm urg go fish that one side effect vaccin right,J,L,6,0,1821,3519,19,1643,1247
feel like im troubl get side effect first vaccin dose get,J,L,0,0,946,139,3,12640,12561
work lot folk could amp would done chose dont trust vaccin didnt want side effect mean sure weather bit round b,T,L,6,0,694,677,16,71665,50984
chair shift reason one side effect vaccin increas mass,J,L,18,0,15934,4176,669,276857,299658
sever member famili got vaccin front line worker well side effect littl pain shoulder first day said worthi,T,L,1,0,1859,3133,1,5494,34967
second pfizer vaccin mild side effect next day follow day wife moderna tire next day parent moderna side effect,G,L,0,0,67,378,0,1749,197
got first dose vaccin confirm side effect includ hot hell,J,L,58,1,1526,978,6,6843,55172
excit kick exercis vaccin side effect anxieti today,J,V,4,0,317,301,1,13569,33951
